manufacturer_keywords,product_keywords,Unique Identifier 
genes 2 me private limited,tect multiplex   ,1319
genes 2 me private limited,viraldtect ii multiplex real time ,1320
genes 2 me private limited,viraldtect multiplex real time ,1321
genes2me pvt  gurugram haryana,rapi rapid ag  ,548
genes2me pvt  gurugram haryanaindia,rapi rapid ag  ,1126
genesprint group ,  antigen rapid colloidal gold,620
genestore france,detection expert 1s  one step rrt ,1325
genestore india private limited gurgaon,detection direct 2 gene rrt detection assay genestore france,1322
genestore india private limited gurgaon,detection expert  2 rrt detection assay,1323
genestore india private limited gurgaon,detection expert  rrt detection assay genestore france,1324
genesystem  south korea genetix biotech asia pvt ,smartchek novel coronavirus detection ,1326
genetic signatures  australia,easyscreen  detection ,251
